	Stdev_slope	R2	Stdev_0.05	Stdev_0.1	Stdev_0.2	Stdev_0.3	Mean_0.05	Mean_0.1	Mean_0.2	Mean_0.3	Stdevnorm_0.05	Stdevnorm_0.1	Stdevnorm_0.2	Stdevnorm_0.3
3OAR100No1	0.046904847125976715	0.9999999694190184	0.00016178798028249533	0.00032372716914178895	0.0006471850008146564	0.0009709883163544542	0.06898930539389976	0.06899023714303727	0.06899453853675369	0.06900130316723506	0.002345116817146576	0.004692362029001383	0.009380235226443295	0.014072028668808148
3OAR120No1	0.046904847125976756	0.9999999694190184	9.340132664100069e-05	0.00018688994704540508	0.00037362440369611394	0.0005605583105868701	0.039828005990186266	0.039828543895445906	0.039831027119964904	0.03983493238820605	0.002345116817146584	0.00469236202900138	0.009380235226443318	0.014072028668808157
3OAR121No1	0.046904847125976805	0.9999999694190184	6.838665364149491e-05	0.00013683722209638285	0.0002735605971185427	0.00041043000576758475	0.02916129940371345	0.029161693247591325	0.029163511416788728	0.02916637077902896	0.0023451168171465787	0.004692362029001359	0.00938023522644329	0.014072028668808181
3OAR140No1	0.04690484712597678	0.9999999694190184	9.340132664100073e-05	0.00018688994704540513	0.0003736244036961139	0.0005605583105868704	0.03982800599018627	0.039828543895445906	0.039831027119964904	0.03983493238820605	0.0023451168171465843	0.004692362029001381	0.009380235226443316	0.014072028668808165
3OAR141No1	0.046904847125976805	0.9999999694190184	6.838665364149491e-05	0.00013683722209638285	0.0002735605971185427	0.00041043000576758475	0.02916129940371345	0.029161693247591325	0.029163511416788728	0.02916637077902896	0.0023451168171465787	0.004692362029001359	0.00938023522644329	0.014072028668808181
3OAR160No1	0.04690484712597684	0.9999999694190184	5.802145764722439e-05	0.00011609714269761717	0.0002320976938405449	0.0003482221446546204	0.024741393359594882	0.02474172750953004	0.024743270103317935	0.024745696079093694	0.0023451168171465682	0.004692362029001361	0.009380235226443327	0.01407202866880817
3OAR161No1	0.046904847125976805	0.9999999694190184	6.838665364149491e-05	0.00013683722209638285	0.0002735605971185427	0.00041043000576758475	0.02916129940371345	0.029161693247591325	0.029163511416788728	0.02916637077902896	0.0023451168171465787	0.004692362029001359	0.00938023522644329	0.014072028668808181
3OAR40No1	0.04690484712597669	0.9999999694190184	0.00016178798028249574	0.00032372716914178895	0.0006471850008146561	0.0009709883163544541	0.06898930539389976	0.06899023714303727	0.06899453853675369	0.06900130316723506	0.002345116817146582	0.004692362029001383	0.00938023522644329	0.014072028668808146
3OAR60No1	0.046904847125976694	0.9999999694190184	0.0001617879802824958	0.0003237271691417889	0.0006471850008146563	0.0009709883163544541	0.06898930539389976	0.06899023714303727	0.06899453853675369	0.06900130316723506	0.002345116817146583	0.004692362029001382	0.009380235226443294	0.014072028668808146
3OAR80No1	0.046904847125976715	0.9999999694190184	0.00016178798028249527	0.00032372716914178895	0.0006471850008146565	0.0009709883163544542	0.06898930539389976	0.06899023714303727	0.06899453853675369	0.06900130316723506	0.0023451168171465756	0.004692362029001383	0.009380235226443297	0.014072028668808148
3OAS100No1	0.046904847125976715	0.9999999694190184	0.00016178798028249533	0.00032372716914178895	0.0006471850008146564	0.0009709883163544542	0.06898930539389976	0.06899023714303727	0.06899453853675369	0.06900130316723506	0.002345116817146576	0.004692362029001383	0.009380235226443295	0.014072028668808148
3OAS120No2	0.046904847125976756	0.9999999694190184	9.340132664100069e-05	0.00018688994704540508	0.00037362440369611394	0.0005605583105868701	0.039828005990186266	0.039828543895445906	0.039831027119964904	0.03983493238820605	0.002345116817146584	0.00469236202900138	0.009380235226443318	0.014072028668808157
